   Код Геозоны отправления;   Наименование зоны;   Код Геозоны прибытия;   Наименование зоны;1,5тн 4м СПК-Омск   [Z-PO1028-GT-1.5T-4M];20тн 12м СПК-Омск   [Z-PO1028-GT-20T-12M];Манипулятор 5тн 6м СПК-Омск   [Z-PO1028-ST-5T-6M];Логистика 20тн 13.5м СПК-Омск   [Z-1028-LG-20T-13.5M];ВРФ 20тн 13,5м СПК-Омск   [Z-1028-SM-20T-13.5M];ВРФ 5тн 6м СПК-Омск   [Z-1028-SM-5T-6M];ВРФ 1,5тн 4м СПК-Омск   [Z-1028-SM-1,5T-4M];ПЦС 20тн 13,5м СПК-Омск   [Z-1028-PS-20T-13.5M]
TZRU55-0001;Омск МБ;TZRU55-0550;1Омская область, Сажино;10307;23606;16092;;;;;
TZRU55-0001;Омск МБ;TZRU55-0560;1Омская область, Северолюбинский;5253;12867;9143;;;;;
TZRU55-0001;Омск МБ;TZRU55-0570;1Омская область, Серебряное;8178;19084;13166;;;;;
TZRU55-0001;Омск МБ;TZRU55-0580;1Омская область, Сосновка;5519;13432;9509;;;;;
TZRU55-0001;Омск МБ;TZRU55-0590;1Омская область, Татарка;12966;29258;19750;;;;;
TZRU55-0001;Омск МБ;TZRU55-0600;1Омская область, Ульяновка;3658;9476;6949;;;;;
TZRU55-0001;Омск МБ;TZRU55-0610;1Омская область, Усть-Заостровка;4349;10946;7900;;;;;
TZRU55-0001;Омск МБ;TZRU55-0620;1Омская область, Чаны;15626;34910;23406;;;;;
TZRU55-0001;Омск МБ;TZRU55-0630;1Омская область, Чернолучье;4988;12302;8777;;;;;
TZRU55-0001;Омск МБ;TZRU55-0640;1Омская область, Шипицино;12966;29258;19750;;;;;
TZRU55-0001;Омск МБ;TZRU55-0650;1Омская область, Называевское;12966;29258;19750;;;;;
TZRU55-0001;Омск МБ;TZRU55-0670;1Омская область, Саргатское;8711;20214;13898;;;;;
TZRU55-0001;Омск МБ;TZRU55-0680;1Омская область, Большеречье;12966;29258;19750;;;;;
TZRU55-0001;Омск МБ;TZRU55-0690;1Омская область, Горьковское;7647;17954;12435;;;;;
TZRU55-0001;Омск МБ;TZRU55-0700;1Омская область, Исилькуль;10307;23606;16092;;;;;
TZRU55-0001;Омск МБ;TZRU55-0710;1Омская область, Калачинск;7647;17954;12435;;;;;
TZRU55-0001;Омск МБ;TZRU55-0720;1Омская область, Кормиловка;4988;12302;8777;;;;;
TZRU55-0001;Омск МБ;TZRU55-0730;1Омская область, Купино;20946;46215;30721;;;;;
TZRU55-0001;Омск МБ;TZRU55-0740;1Омская область, Любино;5519;13432;9509;;;;;
TZRU55-0001;Омск МБ;TZRU55-0750;1Омская область, Нижняя Омка;9243;21346;14629;;;;;
TZRU55-0001;Омск МБ;TZRU55-0760;1Омская область, Одесское;8178;19084;13166;;;;;
TZRU55-0001;Омск МБ;TZRU55-0770;1Омская область, Оконешниково;9509;21911;14994;;;;;
TZRU55-0001;Омск МБ;TZRU55-0780;1Омская область, Павлоградка;8178;19084;13166;;;;;
TZRU55-0001;Омск МБ;TZRU55-0790;1Омская область, Полтавка;10307;23606;16092;;;;;
TZRU55-0001;Омск МБ;TZRU55-0800;1Омская область, Русская Поляна;10307;23606;16092;;;;;
TZRU55-0001;Омск МБ;TZRU55-0810;1Омская область, Седельниково;18287;40563;27064;;;;;
TZRU55-0001;Омск МБ;TZRU55-0820;1Омская область, Таврическое;5519;13432;9509;;;;;
TZRU55-0001;Омск МБ;TZRU55-0830;1Омская область, Тара;18287;40563;27064;;;;;
TZRU55-0001;Омск МБ;TZRU55-0840;1Омская область, Тюкалинск;9774;22476;15361;;;;;
TZRU55-0001;Омск МБ;TZRU55-0850;1Омская область, Щербакуль;7647;17954;12435;;;;;
TZRU55-0001;Омск МБ;TZRU55-0860;1Омская область, Азово;5519;13432;9509;;;;;
TZRU55-0001;Омск МБ;TZRU55-0870;1Омская область, Ишим;20946;46215;30721;;;;;
TZRU55-0001;Омск МБ;TZRU55-0880;1Омская область, Крутинка;12966;29258;19750;;;;;
TZRU55-0001;Омск МБ;TZRU55-0890;1Омская область, Марьяновка;5785;13997;9875;;;;;
TZRU55-0001;Омск МБ;TZRU55-0900;1Омская область, Москаленки;8711;20214;13898;;;;;
TZRU55-0001;Омск МБ;TZRU55-0910;1Омская область, Муромцево;14030;31519;21213;;;;;
TZRU55-0001;Омск МБ;TZRU55-0920;1Омская область, Нововаршавка;11903;26998;18287;;;;;
TZRU55-0001;Омск МБ;TZRU55-0930;1Омская область, Татарск;12966;29258;19750;;;;;
TZRU55-0001;Омск МБ;TZRU55-0940;1Омская область, Чистоозерье;16691;37171;24869;;;;;
TZRU55-0001;Омск МБ;TZRU55-0950;1Омская область, Черлак;9774;22476;15361;;;;;
TZRU55-0001;Омск МБ;TZRU55-0960;1Омская область, Екатеринославка;12966;29258;19750;;;;;
TZRU55-0001;Омск МБ;TZRU55-0970;1Омская область, Калинино;4189;10606;7680;;;;;
TZRU55-0001;Омск МБ;TZRU55-0980;1Омская область, Новоникольск;18287;40563;27064;;;;;
TZRU55-0001;Омск МБ;TZRU55-0990;1Омская область, Октябрьское;7381;17389;12069;;;;;
TZRU55-0001;Омск МБ;TZRU55-1000;1Омская область, Петровка;3923;10041;7314;;;;;
TZRU55-0001;Омск МБ;TZRU55-1010;1Омская область, Абатское;20946;46215;30721;;;;;
TZRU55-0001;Омск МБ;TZRU55-1020;1Омская область, Александровка;7647;17954;12435;;;;;
TZRU55-0001;Омск МБ;TZRU55-1030;1Омская область, Алексеевка;4721;11737;8412;;;;;
TZRU55-0001;Омск МБ;TZRU55-1040;1Омская область, Андреевка;3232;8572;6363;;;;;
TZRU55-0001;Омск МБ;TZRU55-1050;1Омская область, Большекулачье;3338;8798;6510;;;;;
TZRU55-0001;Омск МБ;TZRU55-1060;1Омская область, Богословка;3658;9476;6949;;;;;
TZRU55-0001;Омск МБ;TZRU55-1070;1Омская область, Екатерининское;22010;48475;32184;;;;;
TZRU55-0001;Омск МБ;TZRU55-1080;1Омская область, Звездино;10041;23041;15726;;;;;
TZRU55-0001;Омск МБ;TZRU55-1090;1Омская область, Луговое;6849;16258;11338;;;;;
TZRU55-0001;Омск МБ;TZRU55-1100;1Омская область, Медвежье;11903;26998;18287;;;;;
TZRU55-0001;Омск МБ;TZRU55-1110;1Омская область, Никитино;5253;12867;9143;;;;;
TZRU55-0001;Омск МБ;TZRU55-1120;1Омская область, Покровка;4508;11284;8119;;;;;
TZRU55-0001;Омск МБ;TZRU55-1130;1Омская область, Пристанское;8445;19649;13531;;;;;
TZRU55-0001;Омск МБ;TZRU55-1140;1Омская область, Соляное;8711;20214;13898;;;;;
TZRU55-0001;Омск МБ;TZRU55-1150;1Омская область, Сосновка;4189;10606;7680;;;;;
TZRU55-0001;Омск МБ;TZRU55-1160;1Омская область, Петрушенко;3125;8345;6619;;;;;
TZRU55-0001;Омск МБ;TZRU55-1170;1Омская область, Ушаково;16158;36041;24138;;;;;
TZRU55-0001;Омск МБ;TZRU55-1180;1Омская область, Халдеевка;4189;10606;7680;;;;;
TZRU55-0001;Омск МБ;TZRU55-1190;1Омская область, Цветнополье;6584;15692;10972;;;;;
TZRU55-0001;Омск МБ;TZRU55-1200;1Омская область, Половинка;3923;10041;7314;;;;;
TZRU55-0001;Омск МБ;TZRU55-1210;1Омская область, Радист-1;3019;8119;6607;;;;;
TZRU55-0001;Омск МБ;TZRU55-1220;1Омская область, Добровольск Русско;12966;29258;19750;;;;;
TZRU55-0001;Омск МБ;TZRU55-1230;1Омская область, Камашловский;4988;12302;8777;;;;;
TZRU55-0001;Омск МБ;TZRU55-1240;1Омская область, Искра;18287;40563;27064;;;;;
TZRU55-0001;Омск МБ;TZRU55-1250;1Омская область, Орловка;10839;24736;16824;;;;;
TZRU55-0001;Омск МБ;TZRU55-1290;3 Екатеринбургская область, Город Екатер;;75000;;68000;;;;
TZRU55-0001;Омск МБ;TZRU55-1300;4 Новосибирская область, Город Новосибир;;35000;;24000;;;;
TZRU55-0001;Омск МБ;TZRU55-1310;5 Красноярская область, Город Красноярск;;40000;;35000;;;;
TZRU55-1260;"1Омская область, АО ""ОММЕТ""";TZRU55-0001;Омск МБ;;5200;;;5200;3850;1140;
TZRU55-1270;"1Омская область, ООО ""ФЕРРУМ""";TZRU55-0001;Омск МБ;;5200;;;5200;3850;1140;
TZRU55-1280;1Омская область, ООО «Евраз Металл Инпро;TZRU55-0001;Омск МБ;;5200;;;5200;3850;1140;
TZRU55-1290;3 Екатеринбургская область, Город Екатер;TZRU55-0001;Омск МБ;;68000;;68000;;;;
TZRU55-1300;4 Новосибирская область, Город Новосибир;TZRU55-0001;Омск МБ;;30000;;24000;;;;
TZRU55-1310;5 Красноярская область, Город Красноярск;TZRU55-0001;Омск МБ;;35000;;35000;;;;
TZRU55-0001;Омск МБ;TZRU55-1320;0Омская область, Омск Геозона 1;2200;3950;6000;;;;;
TZRU55-0001;Омск МБ;TZRU55-1330;0Омская область, Омск Геозона 2;2200;7100;6000;;;;;
